lsoa11cd,tcity15cd,tcity15nm,lad11cd,lad11nm,GOR_CODE,GOR_NAME,totalSES,british_high,british_med,british_low,asian_high,asian_med,asian_low,black_high,black_med,black_low,british_subtotal,asian_subtotal,black_subtotal,high_subtotal,med_subtotal,low_subtotal,pbritish_high,pbritish_med,pbritish_low,pasian_high,pasian_med,pasian_low,pblack_high,pblack_med,pblack_low
E01011064,J01000013,Bradford,E08000034,Kirklees,E12000003,Yorkshire and The Humber,1187,278,357,375,1,12,5,2,0,0,1010,18,2,281,369,380,27.524752,35.346535,37.128712,5.5555553,66.666664,27.777779,100,0,0
E01011069,J01000013,Bradford,E08000034,Kirklees,E12000003,Yorkshire and The Humber,1132,345,371,297,6,4,3,2,3,1,1013,13,6,353,378,301,34.057255,36.62389,29.318855,46.153847,30.76923,23.076923,33.333332,50,16.666666
E01011588,J01000013,Bradford,E08000035,Leeds,E12000003,Yorkshire and The Humber,1356,532,394,227,15,12,2,1,0,1,1153,29,2,548,406,230,46.140503,34.171726,19.687771,51.724136,41.379311,6.8965516,50,0,50
E01011589,J01000013,Bradford,E08000035,Leeds,E12000003,Yorkshire and The Humber,1241,609,328,157,16,5,0,1,2,1,1094,21,4,626,335,158,55.667274,29.981718,14.351006,76.190475,23.809525,0,25,50,25
E01011590,J01000013,Bradford,E08000035,Leeds,E12000003,Yorkshire and The Humber,1263,510,428,171,14,11,5,2,0,0,1109,30,2,526,439,176,45.987377,38.593327,15.419296,46.666668,36.666668,16.666666,100,0,0
E01011606,J01000013,Bradford,E08000035,Leeds,E12000003,Yorkshire and The Humber,1280,223,371,339,44,59,53,3,2,5,933,156,10,270,432,397,23.901394,39.764202,36.334404,28.205128,37.820515,33.974358,30,20,50
E01033690,J01000013,Bradford,E08000032,Bradford,E12000003,Yorkshire and The Humber,1040,103,85,57,57,27,22,13,4,10,245,106,27,173,116,89,42.040817,34.693878,23.265306,53.773586,25.471699,20.754717,48.148148,14.814815,37.037037
E01033691,J01000013,Bradford,E08000032,Bradford,E12000003,Yorkshire and The Humber,1182,42,49,94,57,109,136,4,19,26,185,302,49,103,177,256,22.702703,26.486486,50.81081,18.874172,36.092716,45.033112,8.1632652,38.775509,53.061226
E01033692,J01000013,Bradford,E08000032,Bradford,E12000003,Yorkshire and The Humber,919,79,92,89,57,36,14,21,16,12,260,107,49,157,144,115,30.384615,35.384617,34.23077,53.271027,33.644859,13.084112,42.857143,32.653061,24.489796
E01033693,J01000013,Bradford,E08000032,Bradford,E12000003,Yorkshire and The Humber,1648,33,49,96,136,200,205,5,10,27,178,541,42,174,259,328,18.539326,27.52809,53.932583,25.138632,36.968578,37.892792,11.904762,23.809525,64.285713
E01033695,J01000013,Bradford,E08000032,Bradford,E12000003,Yorkshire and The Humber,1433,340,341,242,77,68,48,11,5,1,923,193,17,428,414,291,36.836403,36.944744,26.218851,39.896374,35.233162,24.870466,64.705879,29.411764,5.8823528
E01033696,J01000013,Bradford,E08000032,Bradford,E12000003,Yorkshire and The Humber,1206,303,372,254,35,40,22,10,2,2,929,97,14,348,414,278,32.615715,40.043056,27.341227,36.082474,41.237114,22.680412,71.428574,14.285714,14.285714
E01033697,J01000013,Bradford,E08000032,Bradford,E12000003,Yorkshire and The Humber,1936,46,71,123,138,342,366,6,3,15,240,846,24,190,416,504,19.166666,29.583334,51.25,16.312057,40.425533,43.262413,25,12.5,62.5
